Record ID#,English Name,Official Name,Operator (primary),Operator (additional),Type,Seasonality,Status,Year Established,Antarctic Region,Latitude (DD),Longitude (DD),Latitude (DDM),Longitude (DDM),Elevation (meters),Elevation Datum,Peak Population,Power Supply Types,Photo URL,Webcam URL,Date Modified
41,Dumont d'Urville,Dumont d'Urville Station,France,,Station,Year-Round,Open,1956,,-66.662833,140.001333,66° 39.77' S,140° 0.08' E,42,WGS84,90,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r41/e56/v0/Ant-DDU-Station-Infrapol-2016-red.jpg,,12/1/2023 0:43
40,Robert Guillard ,Robert Guillard ,France,Italy,Station,Seasonal,Open,1994,East Antarctica,-66.687608,139.90717,66° 41.2565' S,139° 54.4302' E,10,WGS84,20,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r40/e56/v0/Prudhomme_Elements%20de%20traverse_Katell%20PIERRE_06-02-16.JPG,,3/14/2021 23:39
44,German Antarctic Receiving Station (GARS),German Antarctic Receiving Station (GARS),Germany,Germany,Station,Year-Round,Open,1991,Antarctic Peninsula,-63.321092,-57.90094,63° 19.2655' S,57° 54.0564' W,17,WGS84,10,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r44/e56/v0/O_Higgins_Wendlant_2048.jpg,,9/7/2022 0:20
45,Gondwana,Gondwana Station,Germany,,Station,Seasonal,Open,1983,Transantarctic Mountains,-74.635501,164.221215,74° 38.1301' S,164° 13.2729' E,20,WGS84,20,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r45/e56/v0/BGR_Gondwana%20Station_5.jpg,,9/7/2022 0:06
46,Kohnen,Kohnen Station,Germany,,Station,Seasonal,Open,2000,Dronning Maud Land,-75.001909,0.066336,75° 0.1145' S,0° 3.9802' E,"2,892",WGS84,28,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r46/e56/v0/csm_20130112_CoFiKohnen2012-13_Kohnen2012_MLeonhardt_94aa025d13.jpg,,9/4/2023 5:24
47,Neumayer III,Neumayer-Station III,Germany,,Station,Year-Round,Open,2009,,-70.660516,-8.284148,70° 39.631' S,8° 17.0489' W,42,MSL,60,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r47/e56/v0/NMIII_.jpg,http://www.awi.de/en/expedition/stations/neumayer-station-iii.html,11/3/2023 0:06
48,Bharati,Bharati Station,India,,Station,Year-Round,Open,2012,,-69.4068,76.19525,69° 24.408' S,76° 11.715' E,35,,47,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r48/e56/v0/5N7A3386.jpg,,9/2/2022 1:53
50,Maitri,Maitri Station,India,,Station,Year-Round,Open,1989,,-70.766834,11.730783,70° 46.01' S,11° 43.847' E,117,MSL,65,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r50/e56/v0/Maitri4_National%20Centre%20for%20Antarctic%20and%20Ocean%20Research.jpg,,9/2/2022 1:51
51,Browning Pass,Browning Pass,Italy,,Airfield Camp,Seasonal,Open,1997,,-74.622906,163.915171,74° 37.3744' S,163° 54.9103' E,63,MSL,2,Fossil Fuel,,,8/30/2022 6:31
42,Concordia,Concordia Station,Italy,France,Station,Year-Round,Open,1997,,-75.099975,123.332605,75° 5.9985' S,123° 19.9563' E,"3,233",MSL,80,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r42/e56/v0/Concordia_aerial_pnra_15-09-28.jpeg,www.italiantartide.it,11/7/2023 5:45
52,Enigma Lake,Enigma Lake,Italy,,Airfield Camp,Seasonal,Open,2005,,-74.719164,164.027711,74° 43.1498' S,164° 1.6627' E,250,MSL,,,,,8/30/2022 6:32
55,Mario Zucchelli,Stazione Mario Zucchelli,Italy,,Station,Seasonal,Open,1986,,-74.694807,164.113268,74° 41.6884' S,164° 6.7961' E,15,MSL,112,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r55/e56/v0/MZS_aerial_Nicklen_2011-10-25.jpeg,,11/7/2023 5:47
53,Mid Point,Mid Point,Italy,,Airfield Camp,Seasonal,Open,1988,,-75.541703,145.820399,75° 32.5022' S,145° 49.2239' E,"2,520",MSL,,Fossil Fuel,,,8/30/2022 6:35
112,Talos Dome,Talos Dome,Italy,,Camp,Seasonal,Open,,,-72.830215,159.200432,72° 49.8129' S,159° 12.0259' E,,,,,,,8/30/2022 6:38
57,Asuka,Asuka Station,Japan,,Station,Seasonal,Temporarily Closed,1985,East Antarctica,-71.52627263,24.11251621,71° 31.5764' S,24° 6.751' E,980.3,,,,https://comnap.quickbase.com/up/bibrbwkpg/a/r57/e56/v0/ASUKA_ovrview_JARE28_87md%B4%C7%D1.jpg,,11/19/2017 19:14
58,Dome Fuji,Dome Fuji Station ,Japan,,Station,Seasonal,Temporarily Closed,1995,Dronning Maud Land,-77.31707524,39.69877019,77° 19.0245' S,39° 41.9262' E,"3,810",MSL,15,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r58/e56/v0/DmFUJI_huts_JARE%B4%C7%D1_yymmd%B4%C7%D1.jpg,,10/9/2018 20:54
59,Mizuho,Mizuho Station ,Japan,,Station,Seasonal,Temporarily Closed,1970,East Antarctica,-70.6990456,44.27781168,70° 41.9427' S,44° 16.6687' E,"2,244.40",,,,https://comnap.quickbase.com/up/bibrbwkpg/a/r59/e56/v0/MIZUHO%20corrugate_JARE11_1970.jpg,,5/6/2020 3:00
56,S17 Camp,S17 Camp,Japan,,Camp,Seasonal,Open,,Dronning Maud Land,-69.028076,40.092449,69° 1.6846' S,40° 5.5469' E,620,,,,,,10/9/2018 20:53
